1,103,5
1,102,5
1,101,2
1,109,5
1,110,4
1,104,3
2,105,3
2,101,5
2,110,2
2,103,2
2,108,4
2,104,5
3,108,1
3,105,2
3,102,3
3,110,1
3,107,4
3,109,3
4,107,3
4,109,5
4,102,5
4,108,3
4,110,5
4,103,2
5,104,4
5,106,3
5,108,5
5,103,3
5,107,5
5,105,2
6,104,2
6,101,2
6,108,4
6,110,2
6,103,5
6,102,3
7,108,1
7,105,1
7,109,4
7,103,5
7,110,4
7,107,3
8,103,5
8,101,2
8,106,1
8,109,1
8,108,5
8,110,5
9,106,3
9,104,1
9,101,2
9,107,4
9,102,1
9,109,5
10,106,2
10,103,3
10,105,5
10,110,1
10,109,4
10,101,1
